Year,Period,labor force,employment,unemployment,unemployment rate
1976,Jan,847412,681331,166081,19.6
1976,Feb,846761,681314,165447,19.5
1976,Mar,847338,683530,163808,19.3
1976,Apr,851826,689691,162135,19
1976,May,857416,695651,161765,18.9
1976,Jun,862041,699232,162809,18.9
1976,Jul,864840,699690,165150,19.1
1976,Aug,866030,697594,168436,19.4
1976,Sep,866632,695386,171246,19.8
1976,Oct,867097,694672,172425,19.9
1976,Nov,867428,695318,172110,19.8
1976,Dec,867368,695898,171470,19.8
1977,Jan,866092,694778,171314,19.8
1977,Feb,863161,691302,171859,19.9
1977,Mar,860070,686691,173379,20.2
1977,Apr,859663,683781,175882,20.5
1977,May,863271,684399,178872,20.7
1977,Jun,870570,689465,181105,20.8
1977,Jul,878635,697477,181158,20.6
1977,Aug,884895,706090,178805,20.2
1977,Sep,888624,713248,175376,19.7
1977,Oct,889927,717352,172575,19.4
1977,Nov,889683,719129,170554,19.2
1977,Dec,888735,720212,168523,19
1978,Jan,888423,722141,166282,18.7
1978,Feb,889112,725622,163490,18.4
1978,Mar,889952,729693,160259,18
1978,Apr,890016,732874,157142,17.7
1978,May,889428,734375,155053,17.4
1978,Jun,888742,734175,154567,17.4
1978,Jul,888500,732653,155847,17.5
1978,Aug,889023,730514,158509,17.8
1978,Sep,889457,728197,161260,18.1
1978,Oct,890295,727099,163196,18.3
1978,Nov,891792,727887,163905,18.4
1978,Dec,893275,730205,163070,18.3
1979,Jan,894004,733491,160513,18
1979,Feb,893931,737122,156809,17.5
1979,Mar,894012,741077,152935,17.1
1979,Apr,894386,744923,149463,16.7
1979,May,895539,748296,147243,16.4
1979,Jun,897958,751043,146915,16.4
1979,Jul,900670,752326,148344,16.5
1979,Aug,902255,751572,150683,16.7
1979,Sep,902217,748798,153419,17
1979,Oct,900574,744806,155768,17.3
1979,Nov,898524,741338,157186,17.5
1979,Dec,897979,740279,157700,17.6
1980,Jan,899954,742592,157362,17.5
1980,Feb,904609,748181,156428,17.3
1980,Mar,910962,755574,155388,17.1
1980,Apr,916986,762612,154374,16.8
1980,May,921065,767554,153511,16.7
1980,Jun,922030,769039,152991,16.6
1980,Jul,920586,767561,153025,16.6
1980,Aug,918343,764330,154013,16.8
1980,Sep,916689,760624,156065,17
1980,Oct,916510,757827,158683,17.3
1980,Nov,918221,756875,161346,17.6
1980,Dec,921782,757989,163793,17.8
1981,Jan,926444,760192,166252,17.9
1981,Feb,930877,761784,169093,18.2
1981,Mar,934004,761625,172379,18.5
1981,Apr,934979,758890,176089,18.8
1981,May,933659,753905,179754,19.3
1981,Jun,930653,747593,183060,19.7
1981,Jul,926970,740795,186175,20.1
1981,Aug,923431,734347,189084,20.5
1981,Sep,920446,728658,191788,20.8
1981,Oct,917418,723316,194102,21.2
1981,Nov,915476,719137,196339,21.4
1981,Dec,915373,716606,198767,21.7
1982,Jan,917370,715980,201390,22
1982,Feb,920951,716681,204270,22.2
1982,Mar,924313,716730,207583,22.5
1982,Apr,925907,715113,210794,22.8
1982,May,925006,711749,213257,23.1
1982,Jun,921587,707502,214085,23.2
1982,Jul,916732,703940,212792,23.2
1982,Aug,912403,701751,210652,23.1
1982,Sep,910654,701229,209425,23
1982,Oct,912145,701668,210477,23.1
1982,Nov,915418,701942,213476,23.3
1982,Dec,919440,702220,217220,23.6
1983,Jan,924614,703958,220656,23.9
1983,Feb,930636,707741,222895,24
1983,Mar,937016,713540,223476,23.8
1983,Apr,943554,719985,223569,23.7
1983,May,949191,725255,223936,23.6
1983,Jun,953447,728681,224766,23.6
1983,Jul,956538,730962,225576,23.6
1983,Aug,959558,733856,225702,23.5
1983,Sep,963659,739098,224561,23.3
1983,Oct,969680,747318,222362,22.9
1983,Nov,975931,756472,219459,22.5
1983,Dec,980289,763952,216337,22.1
1984,Jan,980874,768284,212590,21.7
1984,Feb,977155,768987,208168,21.3
1984,Mar,970817,767027,203790,21
1984,Apr,964272,763943,200329,20.8
1984,May,959679,761553,198126,20.6
1984,Jun,959162,761758,197404,20.6
1984,Jul,963383,765711,197672,20.5
1984,Aug,970816,772498,198318,20.4
1984,Sep,978295,779602,198693,20.3
1984,Oct,983642,784589,199053,20.2
1984,Nov,986719,786362,200357,20.3
1984,Dec,988034,784504,203530,20.6
1985,Jan,988310,779633,208677,21.1
1985,Feb,988488,773541,214947,21.7
1985,Mar,988585,768110,220475,22.3
1985,Apr,989074,765257,223817,22.6
1985,May,989847,765485,224362,22.7
1985,Jun,990552,768117,222435,22.5
1985,Jul,991108,771895,219213,22.1
1985,Aug,991875,776275,215600,21.7
1985,Sep,993660,781575,212085,21.3
1985,Oct,997224,787843,209381,21
1985,Nov,1001901,794550,207351,20.7
1985,Dec,1006612,800734,205878,20.5
1986,Jan,1010004,805153,204851,20.3
1986,Feb,1011544,807859,203685,20.1
1986,Mar,1012406,810083,202323,20
1986,Apr,1013447,812770,200677,19.8
1986,May,1016247,817902,198345,19.5
1986,Jun,1021522,826388,195134,19.1
1986,Jul,1028590,836776,191814,18.6
1986,Aug,1036475,847437,189038,18.2
1986,Sep,1043426,856058,187368,18
1986,Oct,1047477,861142,186335,17.8
1986,Nov,1049192,863078,186114,17.7
1986,Dec,1049905,863172,186733,17.8
1987,Jan,1050101,863215,186886,17.8
1987,Feb,1050302,863963,186339,17.7
1987,Mar,1050485,865468,185017,17.6
1987,Apr,1050888,868036,182852,17.4
1987,May,1051333,871217,180116,17.1
1987,Jun,1051792,875043,176749,16.8
1987,Jul,1053122,879846,173276,16.5
1987,Aug,1055791,884871,170920,16.2
1987,Sep,1060178,889593,170585,16.1
1987,Oct,1065651,894021,171630,16.1
1987,Nov,1071514,898466,173048,16.1
1987,Dec,1077251,903182,174069,16.2
1988,Jan,1083260,908557,174703,16.1
1988,Feb,1089442,915119,174323,16
1988,Mar,1095300,922767,172533,15.8
1988,Apr,1100392,930478,169914,15.4
1988,May,1104358,937412,166946,15.1
1988,Jun,1107114,942645,164469,14.9
1988,Jul,1108898,946383,162515,14.7
1988,Aug,1109381,948491,160890,14.5
1988,Sep,1109029,949207,159822,14.4
1988,Oct,1109148,949599,159549,14.4
1988,Nov,1110222,950121,160101,14.4
1988,Dec,1111272,950733,160539,14.4
1989,Jan,1110995,950659,160336,14.4
1989,Feb,1109027,949265,159762,14.4
1989,Mar,1107105,947620,159485,14.4
1989,Apr,1107156,947249,159907,14.4
1989,May,1109244,948002,161242,14.5
1989,Jun,1112552,949292,163260,14.7
1989,Jul,1116378,950977,165401,14.8
1989,Aug,1120340,953284,167056,14.9
1989,Sep,1123093,955739,167354,14.9
1989,Oct,1123187,957221,165966,14.8
1989,Nov,1120909,957393,163516,14.6
1989,Dec,1118404,957141,161263,14.4
1990,Jan,1118622,958448,160174,14.3
1990,Feb,1121793,961805,159988,14.3
1990,Mar,1126163,966009,160154,14.2
1990,Apr,1130746,970348,160398,14.2
1990,May,1135051,974475,160576,14.1
1990,Jun,1138122,977537,160585,14.1
1990,Jul,1139117,978192,160925,14.1
1990,Aug,1138672,976980,161692,14.2
1990,Sep,1139009,975531,163478,14.4
1990,Oct,1141691,975163,166528,14.6
1990,Nov,1147020,976643,170377,14.9
1990,Dec,1153869,979545,174324,15.1
1991,Jan,1160289,981938,178351,15.4
1991,Feb,1165796,983640,182156,15.6
1991,Mar,1169626,984346,185280,15.8
1991,Apr,1170484,983330,187154,16
1991,May,1169213,981664,187549,16
1991,Jun,1167705,980886,186819,16
1991,Jul,1167022,981130,185892,15.9
1991,Aug,1167571,982019,185552,15.9
1991,Sep,1168889,982292,186597,16
1991,Oct,1169921,980748,189173,16.2
1991,Nov,1170032,977243,192789,16.5
1991,Dec,1169065,972736,196329,16.8
1992,Jan,1168718,969870,198848,17
1992,Feb,1170734,970504,200230,17.1
1992,Mar,1175795,975238,200557,17.1
1992,Apr,1183181,983051,200130,16.9
1992,May,1191367,991515,199852,16.8
1992,Jun,1198894,998943,199951,16.7
1992,Jul,1204028,1004281,199747,16.6
1992,Aug,1205252,1006617,198635,16.5
1992,Sep,1202590,1005772,196818,16.4
1992,Oct,1198250,1002807,195443,16.3
1992,Nov,1194533,998935,195598,16.4
1992,Dec,1194031,996204,197827,16.6
1993,Jan,1198219,996501,201718,16.8
1993,Feb,1205911,999982,205929,17.1
1993,Mar,1215247,1005756,209491,17.2
1993,Apr,1223675,1011729,211946,17.3
1993,May,1228447,1015760,212687,17.3
1993,Jun,1228760,1016544,212216,17.3
1993,Jul,1226004,1015091,210913,17.2
1993,Aug,1222275,1013036,209239,17.1
1993,Sep,1219392,1012241,207151,17
1993,Oct,1217753,1013282,204471,16.8
1993,Nov,1216306,1014895,201411,16.6
1993,Dec,1213954,1016310,197644,16.3
1994,Jan,1209718,1016784,192934,15.9
1994,Feb,1204881,1017052,187829,15.6
1994,Mar,1201806,1019116,182690,15.2
1994,Apr,1201962,1023977,177985,14.8
1994,May,1205169,1030684,174485,14.5
1994,Jun,1209723,1037202,172521,14.3
1994,Jul,1213260,1041386,171874,14.2
1994,Aug,1214064,1042241,171823,14.2
1994,Sep,1213075,1041813,171262,14.1
1994,Oct,1212676,1042778,169898,14
1994,Nov,1215316,1047032,168284,13.8
1994,Dec,1221596,1054401,167195,13.7
1995,Jan,1228984,1062304,166680,13.6
1995,Feb,1234472,1067697,166775,13.5
1995,Mar,1236295,1068937,167358,13.5
1995,Apr,1234232,1066360,167872,13.6
1995,May,1231476,1062730,168746,13.7
1995,Jun,1231518,1061488,170030,13.8
1995,Jul,1236327,1064893,171434,13.9
1995,Aug,1245562,1072595,172967,13.9
1995,Sep,1256506,1082121,174385,13.9
1995,Oct,1266199,1091272,174927,13.8
1995,Nov,1272623,1098815,173808,13.7
1995,Dec,1275404,1103840,171564,13.5
1996,Jan,1275598,1105566,170032,13.3
1996,Feb,1274810,1104318,170492,13.4
1996,Mar,1274035,1100914,173121,13.6
1996,Apr,1274179,1096713,177466,13.9
1996,May,1275314,1093691,181623,14.2
1996,Jun,1277618,1093599,184019,14.4
1996,Jul,1281509,1098200,183309,14.3
1996,Aug,1286271,1107592,178679,13.9
1996,Sep,1291017,1119630,171387,13.3
1996,Oct,1294778,1130862,163916,12.7
1996,Nov,1297596,1138832,158764,12.2
1996,Dec,1299083,1142058,157025,12.1
1997,Jan,1299295,1140677,158618,12.2
1997,Feb,1298692,1135446,163246,12.6
1997,Mar,1298221,1128386,169835,13.1
1997,Apr,1300352,1124115,176237,13.6
1997,May,1305356,1124834,180522,13.8
1997,Jun,1312191,1130128,182063,13.9
1997,Jul,1318731,1137160,181571,13.8
1997,Aug,1322564,1142190,180374,13.6
1997,Sep,1322112,1142752,179360,13.6
1997,Oct,1318529,1139206,179323,13.6
1997,Nov,1313768,1133453,180315,13.7
1997,Dec,1309868,1128225,181643,13.9
1998,Jan,1309071,1126578,182493,13.9
1998,Feb,1311873,1129644,182229,13.9
1998,Mar,1316448,1135831,180617,13.7
1998,Apr,1319956,1141795,178161,13.5
1998,May,1320973,1145181,175792,13.3
1998,Jun,1319223,1144897,174326,13.2
1998,Jul,1315492,1141989,173503,13.2
1998,Aug,1312353,1139593,172760,13.2
1998,Sep,1311060,1139459,171601,13.1
1998,Oct,1311959,1141453,170506,13
1998,Nov,1314339,1144835,169504,12.9
1998,Dec,1316802,1148821,167981,12.8
1999,Jan,1317840,1152199,165641,12.6
1999,Feb,1316254,1154271,161983,12.3
1999,Mar,1312077,1154824,157253,12
1999,Apr,1305535,1153507,152028,11.6
1999,May,1297539,1150477,147062,11.3
1999,Jun,1289839,1145884,143955,11.2
1999,Jul,1283738,1140145,143593,11.2
1999,Aug,1279726,1133942,145784,11.4
1999,Sep,1278007,1129123,148884,11.6
1999,Oct,1279417,1128428,150989,11.8
1999,Nov,1282917,1132038,150879,11.8
1999,Dec,1287726,1138927,148799,11.6
2000,Jan,1292719,1147542,145177,11.2
2000,Feb,1297284,1156533,140751,10.8
2000,Mar,1301189,1164289,136900,10.5
2000,Apr,1303257,1169252,134005,10.3
2000,May,1302710,1170722,131988,10.1
2000,Jun,1299495,1169272,130223,10
2000,Jul,1294959,1166533,128426,9.9
2000,Aug,1289562,1163225,126337,9.8
2000,Sep,1284099,1159585,124514,9.7
2000,Oct,1279127,1155181,123946,9.7
2000,Nov,1274914,1149959,124955,9.8
2000,Dec,1271642,1143842,127800,10
2001,Jan,1269141,1136811,132330,10.4
2001,Feb,1267100,1129993,137107,10.8
2001,Mar,1264831,1124378,140453,11.1
2001,Apr,1263270,1121263,142007,11.2
2001,May,1263198,1120198,143000,11.3
2001,Jun,1265332,1120739,144593,11.4
2001,Jul,1269460,1122494,146966,11.6
2001,Aug,1274661,1125356,149305,11.7
2001,Sep,1280466,1129505,150961,11.8
2001,Oct,1285983,1134704,151279,11.8
2001,Nov,1290769,1140703,150066,11.6
2001,Dec,1293898,1146549,147349,11.4
2002,Jan,1295777,1151272,144505,11.2
2002,Feb,1332277,1154158,178119,13.4
2002,Mar,1324788,1155481,169307,12.8
2002,Apr,1321489,1156070,165419,12.5
2002,May,1321216,1156739,164477,12.4
2002,Jun,1322721,1158275,164446,12.4
2002,Jul,1324337,1160071,164266,12.4
2002,Aug,1325115,1162198,162917,12.3
2002,Sep,1324601,1164527,160074,12.1
2002,Oct,1323181,1166361,156820,11.9
2002,Nov,1322615,1167733,154882,11.7
2002,Dec,1324837,1169684,155153,11.7
2003,Jan,1330779,1173076,157703,11.9
2003,Feb,1339785,1177989,161796,12.1
2003,Mar,1350026,1184146,165880,12.3
2003,Apr,1357617,1189280,168337,12.4
2003,May,1360015,1191809,168206,12.4
2003,Jun,1357021,1190817,166204,12.2
2003,Jul,1350811,1187433,163378,12.1
2003,Aug,1344302,1183722,160580,11.9
2003,Sep,1338626,1180720,157906,11.8
2003,Oct,1335055,1179652,155403,11.6
2003,Nov,1334433,1180781,153652,11.5
2003,Dec,1335749,1182941,152808,11.4
2004,Jan,1337670,1185133,152537,11.4
2004,Feb,1338784,1187225,151559,11.3
2004,Mar,1339117,1189275,149842,11.2
2004,Apr,1340316,1192729,147587,11
2004,May,1343342,1198662,144680,10.8
2004,Jun,1347040,1205972,141068,10.5
2004,Jul,1350648,1213273,137375,10.2
2004,Aug,1353916,1218593,135323,10
2004,Sep,1356023,1220973,135050,10
2004,Oct,1356014,1219992,136022,10
2004,Nov,1352999,1215293,137706,10.2
2004,Dec,1348081,1208165,139916,10.4
2005,Jan,1344533,1201847,142686,10.6
2005,Feb,1345188,1198698,146490,10.9
2005,Mar,1350904,1200191,150713,11.2
2005,Apr,1361050,1207319,153731,11.3
2005,May,1373976,1218750,155226,11.3
2005,Jun,1387255,1231210,156045,11.2
2005,Jul,1397084,1239999,157085,11.2
2005,Aug,1401545,1242703,158842,11.3
2005,Sep,1401704,1240301,161403,11.5
2005,Oct,1399479,1236086,163393,11.7
2005,Nov,1398113,1235505,162608,11.6
2005,Dec,1400606,1241511,159095,11.4
2006,Jan,1406842,1252682,154160,11
2006,Feb,1414910,1265191,149719,10.6
2006,Mar,1422136,1274546,147590,10.4
2006,Apr,1426045,1277002,149043,10.5
2006,May,1425988,1273232,152756,10.7
2006,Jun,1423367,1267875,155492,10.9
2006,Jul,1420127,1264603,155524,11
2006,Aug,1417205,1264526,152679,10.8
2006,Sep,1415566,1267139,148427,10.5
2006,Oct,1416822,1271489,145333,10.3
2006,Nov,1419933,1275408,144525,10.2
2006,Dec,1422885,1277580,145305,10.2
2007,Jan,1423946,1277215,146731,10.3
2007,Feb,1422027,1273509,148518,10.4
2007,Mar,1417310,1266552,150758,10.6
2007,Apr,1409772,1256710,153062,10.9
2007,May,1399887,1244700,155187,11.1
2007,Jun,1389259,1231941,157318,11.3
2007,Jul,1379555,1220541,159014,11.5
2007,Aug,1371577,1211652,159925,11.7
2007,Sep,1364926,1204988,159938,11.7
2007,Oct,1358880,1200423,158457,11.7
2007,Nov,1353542,1198278,155264,11.5
2007,Dec,1349419,1198450,150969,11.2
2008,Jan,1347155,1200452,146703,10.9
2008,Feb,1346533,1202932,143601,10.7
2008,Mar,1346839,1203934,142905,10.6
2008,Apr,1347641,1202504,145137,10.8
2008,May,1348153,1198516,149637,11.1
2008,Jun,1347664,1192921,154743,11.5
2008,Jul,1346947,1187089,159858,11.9
2008,Aug,1346279,1182090,164189,12.2
2008,Sep,1345227,1177730,167497,12.5
2008,Oct,1342478,1171856,170622,12.7
2008,Nov,1337759,1162788,174971,13.1
2008,Dec,1331742,1151502,180240,13.5
2009,Jan,1324535,1139446,185089,14
2009,Feb,1317167,1127822,189345,14.4
2009,Mar,1310658,1117756,192902,14.7
2009,Apr,1305622,1109513,196109,15
2009,May,1302856,1103391,199465,15.3
2009,Jun,1301974,1099044,202930,15.6
2009,Jul,1301074,1095442,205632,15.8
2009,Aug,1299426,1092339,207087,15.9
2009,Sep,1296984,1089425,207559,16
2009,Oct,1293375,1086752,206623,16
2009,Nov,1289123,1084146,204977,15.9
2009,Dec,1284486,1080278,204208,15.9
2010,Jan,1280579,1075106,205473,16
2010,Feb,1277929,1069327,208602,16.3
2010,Mar,1275758,1063494,212264,16.6
2010,Apr,1273733,1058610,215123,16.9
2010,May,1271502,1055729,215773,17
2010,Jun,1269533,1055449,214084,16.9
2010,Jul,1268136,1057467,210669,16.6
2010,Aug,1267066,1060466,206600,16.3
2010,Sep,1265418,1062791,202627,16
2010,Oct,1262513,1062514,199999,15.8
2010,Nov,1257571,1058347,199224,15.8
2010,Dec,1250382,1050307,200075,16
2011,Jan,1242155,1040481,201674,16.2
2011,Feb,1234604,1031693,202911,16.4
2011,Mar,1228607,1025412,203195,16.5
2011,Apr,1223951,1022006,201945,16.5
2011,May,1220184,1021096,199088,16.3
2011,Jun,1217007,1021128,195879,16.1
2011,Jul,1214535,1021633,192902,15.9
2011,Aug,1213100,1022437,190663,15.7
2011,Sep,1212658,1023307,189351,15.6
2011,Oct,1213096,1024470,188626,15.5
2011,Nov,1213164,1025264,187900,15.5
2011,Dec,1211982,1025297,186685,15.4
2012,Jan,1208971,1024441,184530,15.3
2012,Feb,1204910,1023079,181831,15.1
2012,Mar,1201464,1022631,178833,14.9
2012,Apr,1199216,1023344,175872,14.7
2012,May,1197578,1024514,173064,14.5
2012,Jun,1195996,1025814,170182,14.2
2012,Jul,1193990,1026199,167791,14.1
2012,Aug,1191631,1024828,166803,14
2012,Sep,1189288,1022205,167083,14
2012,Oct,1187057,1018941,168116,14.2
2012,Nov,1184644,1015802,168842,14.3
2012,Dec,1181611,1012938,168673,14.3
2013,Jan,1177185,1009877,167308,14.2
2013,Feb,1171316,1006686,164630,14.1
2013,Mar,1165244,1003918,161326,13.8
2013,Apr,1161036,1002028,159008,13.7
2013,May,1159632,1000998,158634,13.7
2013,Jun,1160784,1000826,159958,13.8
2013,Jul,1163659,1000734,162925,14
2013,Aug,1166776,1000140,166636,14.3
2013,Sep,1168513,998511,170002,14.5
2013,Oct,1168275,995629,172646,14.8
2013,Nov,1166045,991987,174058,14.9
2013,Dec,1162180,988124,174056,15
2014,Jan,1156847,984664,172183,14.9
2014,Feb,1149848,981836,168012,14.6
2014,Mar,1141961,979695,162266,14.2
2014,Apr,1134728,977701,157027,13.8
2014,May,1129333,975514,153819,13.6
2014,Jun,1126328,972900,153428,13.6
2014,Jul,1125315,969987,155328,13.8
2014,Aug,1125352,967958,157394,14
2014,Sep,1125393,967920,157473,14
2014,Oct,1125210,970978,154232,13.7
2014,Nov,1124986,976523,148463,13.2
2014,Dec,1124555,982568,141987,12.6
2015,Jan,1125363,988442,136921,12.2
2015,Feb,1123398,988302,135096,12
2015,Mar,1119539,984449,135090,12.1
2015,Apr,1114150,979228,134922,12.1
2015,May,1109765,975249,134516,12.1
2015,Jun,1108050,973661,134389,12.1
2015,Jul,1110091,975795,134296,12.1
2015,Aug,1115316,980845,134471,12.1
2015,Sep,1121674,986643,135031,12
2015,Oct,1126644,991196,135448,12
2015,Nov,1128530,993431,135099,12
2015,Dec,1128452,994396,134056,11.9
2016,Jan,1127069,994898,132171,11.7
2016,Feb,1125154,994895,130259,11.6
2016,Mar,1123238,994057,129181,11.5
2016,Apr,1121463,992441,129022,11.5
2016,May,1119320,989796,129524,11.6
2016,Jun,1115886,986318,129568,11.6
2016,Jul,1112195,982326,129869,11.7
2016,Aug,1109224,978164,131060,11.8
2016,Sep,1108467,975580,132887,12
2016,Oct,1110291,976157,134134,12.1
2016,Nov,1114217,979959,134258,12
2016,Dec,1118860,985193,133667,11.9
2017,Jan,1122137,989877,132260,11.8
2017,Feb,1121892,992491,129401,11.5
2017,Mar,1116778,991673,125105,11.2
2017,Apr,1108640,988249,120391,10.9
2017,May,1098575,982500,116075,10.6
2017,Jun,1088764,975320,113444,10.4
2017,Jul,1081644,968862,112782,10.4
2017,Aug,1078833,965193,113640,10.5
2017,Sep,1079960(V),964344(V),115616(V),10.7(V)
2017,Oct,1041748,924285,117463,11.3
2017,Nov,1084425,966577,117848,10.9
2017,Dec,1084929,968707,116222,10.7
2018,Jan,1084419,970913,113506,10.5
2018,Feb,1083813,973105,110708,10.2
2018,Mar,1082885,974969,107916,10
2018,Apr,1081750,976621,105129,9.7
2018,May,1081525,979008,102517,9.5
2018,Jun,1081770,982218,99552,9.2
2018,Jul,1080582,984200,96382,8.9
2018,Aug,1077904,984683,93221,8.6
2018,Sep,1074627,984221,90406,8.4
2018,Oct,1071799,982842,88957,8.3
2018,Nov,1070043,980839,89204,8.3
2018,Dec,1069715,979158,90557,8.5
2019,Jan,1071297,979071,92226,8.6
2019,Feb,1075161,981630,93531,8.7
2019,Mar,1080907,987566,93341,8.6
2019,Apr,1086920,995794,91126,8.4
2019,May,1091465,1003803,87662,8
2019,Jun,1093289,1009075,84214,7.7
2019,Jul,1090423,1008172,82251,7.5
2019,Aug,1083037,1000434,82603,7.6
2019,Sep,1074120,988871,85249,7.9
2019,Oct,1066792,978256,88536,8.3
2019,Nov,1065107,974958,90149,8.5
2019,Dec,1065881,975464,90417,8.5
2020,Jan,1055984,962208,93776,8.9
2020,Feb,1048791,956078,92713,8.8
2020,Mar,-(N),-(N),-(N),-(N)
2020,Apr,-(N),-(N),-(N),-(N)
2020,May,1032146,939024,93122,9
2020,Jun,1035141,942830,92311,8.9
2020,Jul,1034753,946949,87804,8.5
2020,Aug,1037830,951707,86123,8.3
2020,Sep,1041397,954139,87258,8.4
