"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GDP","TOT","USD_CAP","A","1970",5233.352349,
"USA","GDP","TOT","USD_CAP","A","1971",5608.545346,
"USA","GDP","TOT","USD_CAP","A","1972",6093.20516,
"USA","GDP","TOT","USD_CAP","A","1973",6725.406839,
"USA","GDP","TOT","USD_CAP","A","1974",7224.204995,
"USA","GDP","TOT","USD_CAP","A","1975",7801.167695,
"USA","GDP","TOT","USD_CAP","A","1976",8590.244216,
"USA","GDP","TOT","USD_CAP","A","1977",9450.431025,
"USA","GDP","TOT","USD_CAP","A","1978",10562.860184,
"USA","GDP","TOT","USD_CAP","A","1979",11671.541407,
"USA","GDP","TOT","USD_CAP","A","1980",12547.12681,
"USA","GDP","TOT","USD_CAP","A","1981",13943.17589,
"USA","GDP","TOT","USD_CAP","A","1982",14399.353194,
"USA","GDP","TOT","USD_CAP","A","1983",15508.007835,
"USA","GDP","TOT","USD_CAP","A","1984",17080.014721,
"USA","GDP","TOT","USD_CAP","A","1985",18192.326398,
"USA","GDP","TOT","USD_CAP","A","1986",19027.646323,
"USA","GDP","TOT","USD_CAP","A","1987",19993.226076,
"USA","GDP","TOT","USD_CAP","A","1988",21367.896156,
"USA","GDP","TOT","USD_CAP","A","1989",22804.674457,
"USA","GDP","TOT","USD_CAP","A","1990",23835.319229,
"USA","GDP","TOT","USD_CAP","A","1991",24289.547588,
"USA","GDP","TOT","USD_CAP","A","1992",25378.624641,
"USA","GDP","TOT","USD_CAP","A","1993",26350.492927,
"USA","GDP","TOT","USD_CAP","A","1994",27660.268357,
"USA","GDP","TOT","USD_CAP","A","1995",28657.512716,
"USA","GDP","TOT","USD_CAP","A","1996",29932.157767,
"USA","GDP","TOT","USD_CAP","A","1997",31424.438925,
"USA","GDP","TOT","USD_CAP","A","1998",32817.981996,
"USA","GDP","TOT","USD_CAP","A","1999",34477.972133,
"USA","GDP","TOT","USD_CAP","A","2000",36304.602016,
"USA","GDP","TOT","USD_CAP","A","2001",37099.910597,
"USA","GDP","TOT","USD_CAP","A","2002",37979.607925,
"USA","GDP","TOT","USD_CAP","A","2003",39426.087136,
"USA","GDP","TOT","USD_CAP","A","2004",41647.843907,
"USA","GDP","TOT","USD_CAP","A","2005",44043.734142,
"USA","GDP","TOT","USD_CAP","A","2006",46230.846201,
"USA","GDP","TOT","USD_CAP","A","2007",47902.060352,
"USA","GDP","TOT","USD_CAP","A","2008",48311.223702,
"USA","GDP","TOT","USD_CAP","A","2009",47028.160396,
"USA","GDP","TOT","USD_CAP","A","2010",48395.803473,
"USA","GDP","TOT","USD_CAP","A","2011",49810.699509,
"USA","GDP","TOT","USD_CAP","A","2012",51540.968322,
"USA","GDP","TOT","USD_CAP","A","2013",53045.945117,
"USA","GDP","TOT","USD_CAP","A","2014",54993.169489,
"USA","GDP","TOT","USD_CAP","A","2015",56812.535433,
"USA","GDP","TOT","USD_CAP","A","2016",57977.387518,
"USA","GDP","TOT","USD_CAP","A","2017",60056.482591,
"USA","GDP","TOT","USD_CAP","A","2018",62949.281692,
"OECD","GDP","TOT","USD_CAP","A","1970",3497.074274,"E"
"OECD","GDP","TOT","USD_CAP","A","1971",3765.881334,"E"
"OECD","GDP","TOT","USD_CAP","A","1972",4097.108061,"E"
"OECD","GDP","TOT","USD_CAP","A","1973",4535.90726,"E"
"OECD","GDP","TOT","USD_CAP","A","1974",4946.74665,"E"
"OECD","GDP","TOT","USD_CAP","A","1975",5372.907967,"E"
"OECD","GDP","TOT","USD_CAP","A","1976",5890.9939,"E"
"OECD","GDP","TOT","USD_CAP","A","1977",6425.721342,"E"
"OECD","GDP","TOT","USD_CAP","A","1978",7119.071847,"E"
"OECD","GDP","TOT","USD_CAP","A","1979",7934.830129,"E"
"OECD","GDP","TOT","USD_CAP","A","1980",8676.276371,"E"
"OECD","GDP","TOT","USD_CAP","A","1981",9627.942623,"E"
"OECD","GDP","TOT","USD_CAP","A","1982",10148.970626,"E"
"OECD","GDP","TOT","USD_CAP","A","1983",10773.287824,"E"
"OECD","GDP","TOT","USD_CAP","A","1984",11604.026311,"E"
"OECD","GDP","TOT","USD_CAP","A","1985",12323.30661,"E"
"OECD","GDP","TOT","USD_CAP","A","1986",12847.555094,"E"
"OECD","GDP","TOT","USD_CAP","A","1987",13550.953775,"E"
"OECD","GDP","TOT","USD_CAP","A","1988",14554.119416,"E"
"OECD","GDP","TOT","USD_CAP","A","1989",15564.39856,"E"
"OECD","GDP","TOT","USD_CAP","A","1990",16493.526477,"E"
"OECD","GDP","TOT","USD_CAP","A","1991",17147.490891,"E"
"OECD","GDP","TOT","USD_CAP","A","1992",17780.935932,"E"
"OECD","GDP","TOT","USD_CAP","A","1993",18311.73984,"E"
"OECD","GDP","TOT","USD_CAP","A","1994",19125.383004,"E"
"OECD","GDP","TOT","USD_CAP","A","1995",19888.438639,"E"
"OECD","GDP","TOT","USD_CAP","A","1996",20765.138229,"E"
"OECD","GDP","TOT","USD_CAP","A","1997",21732.129036,"E"
"OECD","GDP","TOT","USD_CAP","A","1998",22324.691161,"E"
"OECD","GDP","TOT","USD_CAP","A","1999",23206.462109,"E"
"OECD","GDP","TOT","USD_CAP","A","2000",24637.306093,"E"
"OECD","GDP","TOT","USD_CAP","A","2001",25411.946453,"E"
"OECD","GDP","TOT","USD_CAP","A","2002",26215.514559,"E"
"OECD","GDP","TOT","USD_CAP","A","2003",26985.156055,"E"
"OECD","GDP","TOT","USD_CAP","A","2004",28427.883204,"E"
"OECD","GDP","TOT","USD_CAP","A","2005",29789.103937,
"OECD","GDP","TOT","USD_CAP","A","2006",31771.508674,
"OECD","GDP","TOT","USD_CAP","A","2007",33307.633063,
"OECD","GDP","TOT","USD_CAP","A","2008",34155.604736,"B"
"OECD","GDP","TOT","USD_CAP","A","2009",33250.118733,
"OECD","GDP","TOT","USD_CAP","A","2010",34523.471815,"B"
"OECD","GDP","TOT","USD_CAP","A","2011",35891.74343,"P"
"OECD","GDP","TOT","USD_CAP","A","2012",36852.922737,"P"
"OECD","GDP","TOT","USD_CAP","A","2013",38194.553982,"P"
"OECD","GDP","TOT","USD_CAP","A","2014",39332.367353,"P"
"OECD","GDP","TOT","USD_CAP","A","2015",40482.66571,"P"
"OECD","GDP","TOT","USD_CAP","A","2016",41881.368789,"P"
"OECD","GDP","TOT","USD_CAP","A","2017",43590.152299,"P"
"OECD","GDP","TOT","USD_CAP","A","2018",45135.475023,"E"
